feature,importance
average_4overlap,3.3704
min_triad_ratio,2.3958
average_overlap,2.2487
average_3overlap,2.2001
unique_5gram_density,2.047
maj_triad_ratio,1.4983
average_2overlap,1.3529
average_5overlap,1.2164
unique_chord_density,1.2065
drone_ratio,1.0203
"contains_Amin,D,G",0.8845
"contains_C,D,G",0.7035
"contains_G,C,G",0.6821
"contains_Emin,C,G",0.6317
"contains_G,Amin,F",0.613
"contains_C,G,D",0.5881
"contains_F,G,Amin",0.5737
"contains_C,G,Amin",0.5042
"contains_C,G,D,C,G",0.4799
"contains_G,D,C",0.4747
"contains_Emin,G,C",0.4742
"contains_G,C,D",0.4649
"contains_C,G,C,G,C",0.4603
"contains_Amin,G,F",0.4505
"contains_G,C,G,D",0.4378
"contains_G,C,G,C",0.4377
"contains_Amin,F,C,G,Amin",0.4375
"contains_G,C,Emin",0.4318
"contains_C,G,Amin,F",0.4214
"contains_G,F,G",0.4206
"contains_D,G,C",0.4099
"contains_D,C,G,D,C",0.3969
"contains_C,G,C",0.3889
"contains_F,Amin,G",0.3888
"contains_C,D,C",0.3826
"contains_G,C,G,D,G",0.3799
"contains_G,C,Amin",0.3757
"contains_G,D,G,C",0.3756
"contains_G,F,G,C",0.3746
"contains_D,C,G",0.3744
"contains_C,D,G,D",0.3573
"contains_F,C,G,Amin",0.3537
"contains_F,G,Amin,F",0.3536
"contains_G,D,G,C,G",0.3532
"contains_C,G,D,G,C",0.3493
"contains_G,D,Amin",0.3321
"contains_D,G,C,G",0.3301
"contains_C,Amin,C",0.3243
"contains_Amin,G,Amin",0.3196
"contains_G,C,D,G",0.3147
"contains_G,Amin,F,C,G",0.3139
"contains_Amin,C,G",0.3118
"contains_D,G,C,G,D",0.3041
"contains_G,Emin,C,G",0.3033
"contains_D,C,D,C",0.3018
"contains_G,Emin,C",0.301
"contains_G,Amin,C,G,Amin",0.2988
"contains_Amin,F,G,C",0.2853
"contains_C,Amin,F,G,C",0.2826
"contains_Amin,C,G,Amin",0.2826
"contains_G,D,C,G",0.28
"contains_C,Amin,C,Amin,C",0.2782
"contains_G,C,G,Amin",0.277
"contains_C,Amin,F,G",0.2738
"contains_F,G,F,G,F",0.2729
"contains_C,G,Emin,C,G",0.2644
"contains_G,Amin,C,G",0.2627
"contains_C,Amin,G",0.2606
"contains_F,C,G,Amin,F",0.2596
"contains_G,F,Amin",0.256
"contains_F,G,F,G",0.2523
"contains_Amin,F,G",0.2516
"contains_Amin,F,C,G",0.2492
"contains_G,Amin,F,C",0.2488
"contains_G,D,C,G,D",0.248
"contains_G,Amin,C",0.2468
"contains_Emin,C,G,Emin,C",0.2457
"contains_Amin,G,F,C",0.2441
"contains_G,F,G,F,G",0.2412
"contains_G,Amin,G,Amin,G",0.2389
"contains_G,Amin,G",0.2367
"contains_D,G,C,D",0.2318
"contains_D,G,C,D,G",0.2314
"contains_C,G,Amin,C",0.2304
"contains_Amin,F,G,Amin",0.2298
"contains_G,C,G,C,G",0.2254
"contains_C,G,C,G,D",0.2202
"contains_G,Amin,G,F",0.2176
"contains_C,G,Amin,F,C",0.2165
"contains_D,C,G,D",0.2152
"contains_F,Amin,G,F",0.2142
"contains_G,Emin,C,G,Emin",0.2078
"contains_G,F,Amin,G,F",0.2067
"contains_C,D,G,C",0.2037
"contains_C,G,D,C",0.2024
"contains_G,Amin,F,G,Amin",0.2023
"contains_F,G,C,Amin",0.2013
"contains_Amin,G,Amin,G,Amin",0.1998
"contains_F,G,Amin,F,G",0.1907
"contains_Amin,G,C",0.1907
"contains_C,G,Emin",0.1832
"contains_G,C,D,G,C",0.1782
"contains_C,G,Amin,C,G",0.1765
"contains_C,G,D,G",0.1718
"contains_Amin,C,G,Amin,C",0.1712
"contains_G,Amin,F,G",0.1706
"contains_C,Amin,C,Amin",0.1651
"contains_Amin,G,F,Amin,G",0.1633
"contains_C,D,G,C,D",0.1625
"contains_G,C,Amin,F,G",0.1621
"contains_C,G,Emin,C",0.1547
"contains_C,G,C,G",0.152
"contains_F,Amin,G,F,Amin",0.15
"contains_Amin,G,Amin,G",0.1458
"contains_D,G,C,G,C",0.1265
"contains_G,F,Amin,G",0.125
"contains_G,Amin,G,Amin",0.1038
"contains_Amin,F,G,Amin,F",0.0982
"contains_F,G,C,Amin,F",0.087
