feature,importance
average_4overlap,1.0793
maj_triad_ratio,1.0469
unique_5gram_density,0.958
min_triad_ratio,0.574
average_3overlap,0.4038
unique_chord_density,0.3789
"contains_G,C,G",0.3761
"contains_C,G,C",0.3492
drone_ratio,0.3285
average_2overlap,0.2952
"contains_C,D,G",0.278
"contains_Amin,F,C,G,Amin",0.1899
"contains_G,D,G,C,G",0.1829
"contains_Amin,G,F",0.1653
average_5overlap,0.1268
"contains_Amin,C,G",0.1165
"contains_D,G,C,G,D",0.1032
"contains_C,G,D",0.0844
"contains_G,Amin,F",0.0804
"contains_F,G,Amin,F,G",0.08
"contains_F,G,Amin",0.0755
"contains_D,G,C",0.0745
"contains_G,C,Amin",0.0666
"contains_G,D,G,C",0.061
"contains_G,Amin,G,F",0.0592
"contains_D,G,C,D,G",0.054
"contains_C,Amin,C,Amin",0.0482
"contains_G,Amin,F,C,G",0.0364
"contains_C,G,D,G",0.0335
"contains_C,G,Amin,F,C",0.0312
"contains_G,C,G,Amin",0.0254
"contains_C,Amin,C,Amin,C",0.0234
"contains_C,Amin,C",0.0203
"contains_F,Amin,G",0.0178
"contains_G,Amin,G,Amin,G",0.0164
"contains_C,G,Emin",0.0159
"contains_G,Amin,F,G",0.0084
"contains_C,Amin,G",0.004
"contains_G,C,D,G,C",0.0035
"contains_Amin,G,Amin",0.0032
"contains_F,C,G,Amin",0.0029
"contains_Amin,G,Amin,G,Amin",0.0027
"contains_Amin,F,G",0.0
"contains_G,F,Amin",0.0
"contains_G,D,C",0.0
"contains_G,F,G",0.0
"contains_Emin,G,C",0.0
"contains_Amin,D,G",0.0
"contains_G,D,Amin",0.0
"contains_D,C,G",0.0
"contains_C,G,C,G",0.0
"contains_Emin,C,G",0.0
"contains_D,C,G,D",0.0
"contains_G,D,C,G",0.0
"contains_G,C,D",0.0
"contains_G,C,G,C",0.0
"contains_Amin,F,G,C",0.0
"contains_D,G,C,G",0.0
"contains_C,D,G,C",0.0
"contains_G,C,D,G",0.0
"contains_G,C,G,D",0.0
"contains_Amin,F,C,G",0.0
"contains_G,Amin,G",0.0
"contains_F,G,F,G",0.0
"contains_C,G,Amin",0.0
"contains_Amin,G,F,C",0.0
"contains_Amin,G,Amin,G",0.0
"contains_G,C,Emin",0.0
"contains_G,Amin,G,Amin",0.0
"contains_G,Amin,F,C",0.0
"contains_C,G,Amin,F",0.0
"contains_D,G,C,D",0.0
"contains_C,G,D,G,C",0.0
"contains_Amin,G,C",0.0
"contains_C,Amin,F,G",0.0
"contains_G,Emin,C,G,Emin",0.0
"contains_F,Amin,G,F,Amin",0.0
"contains_G,C,G,D,G",0.0
"contains_G,Amin,C,G",0.0
"contains_C,D,G,D",0.0
"contains_D,C,D,C",0.0
"contains_F,Amin,G,F",0.0
"contains_C,G,Emin,C",0.0
"contains_F,G,C,Amin",0.0
"contains_G,F,G,C",0.0
"contains_G,Amin,C",0.0
"contains_Amin,C,G,Amin",0.0
"contains_G,F,Amin,G",0.0
"contains_G,D,C,G,D",0.0
"contains_C,G,D,C,G",0.0
"contains_D,C,G,D,C",0.0
"contains_F,C,G,Amin,F",0.0
"contains_C,G,C,G,C",0.0
"contains_G,C,G,C,G",0.0
average_overlap,0.0
"contains_C,G,C,G,D",0.0
"contains_D,G,C,G,C",0.0
"contains_Amin,C,G,Amin,C",0.0
"contains_F,G,C,Amin,F",0.0
"contains_G,Emin,C",0.0
"contains_C,D,C",0.0
"contains_Amin,F,G,Amin",0.0
"contains_F,G,Amin,F",0.0
"contains_G,Emin,C,G",0.0
"contains_C,D,G,C,D",0.0
"contains_C,G,Amin,C",0.0
"contains_G,Amin,F,G,Amin",0.0
"contains_C,G,Emin,C,G",0.0
"contains_Amin,F,G,Amin,F",0.0
"contains_C,G,Amin,C,G",0.0
"contains_G,F,G,F,G",0.0
"contains_Amin,G,F,Amin,G",0.0
"contains_C,Amin,F,G,C",0.0
"contains_Emin,C,G,Emin,C",0.0
"contains_G,Amin,C,G,Amin",0.0
"contains_G,F,Amin,G,F",0.0
"contains_F,G,F,G,F",0.0
"contains_G,C,Amin,F,G",0.0
"contains_C,G,D,C",0.0
