feature,importance
drone_ratio,0.2269
average_overlap,0.1714
average_2overlap,0.1535
unique_5gram_density,0.1251
maj_triad_ratio,0.1009
"contains_C,D,G",0.0995
"contains_Emin,C,G",0.0976
"contains_G,Amin,C",0.0806
"contains_C,G,D,G,C",0.0744
"contains_G,D,G,C",0.0648
min_triad_ratio,0.0629
"contains_Amin,F,C,G",0.061
"contains_C,G,Amin",0.0594
"contains_F,C,G,Amin,F",0.0562
"contains_Amin,F,G,C",0.0512
"contains_C,G,C",0.0489
average_3overlap,0.0485
unique_chord_density,0.0479
"contains_G,C,D",0.0476
"contains_D,G,C,G",0.0472
"contains_G,C,D,G",0.0471
"contains_C,Amin,G",0.0449
"contains_C,G,D",0.0436
"contains_C,G,Amin,C",0.0432
"contains_G,C,Emin",0.0429
"contains_G,D,G,C,G",0.0418
"contains_C,Amin,F,G",0.0393
"contains_G,F,Amin",0.0388
"contains_G,C,G",0.0385
"contains_F,Amin,G,F",0.0378
"contains_C,Amin,C,Amin",0.0369
"contains_G,Amin,F,C,G",0.0368
"contains_C,D,G,C,D",0.0365
"contains_C,D,C",0.0348
"contains_G,F,G",0.0336
"contains_Amin,G,Amin,G,Amin",0.0327
average_4overlap,0.0325
"contains_D,G,C,G,D",0.0317
"contains_C,G,Emin,C,G",0.0316
"contains_G,F,G,C",0.0307
"contains_Amin,F,G,Amin",0.0296
"contains_G,Amin,G,F",0.0296
"contains_Amin,G,Amin",0.0285
"contains_Amin,C,G",0.0274
"contains_G,C,G,D",0.0272
"contains_C,G,Amin,F",0.027
"contains_G,D,Amin",0.0269
"contains_Amin,G,C",0.0266
"contains_C,G,C,G",0.0262
"contains_C,G,D,C,G",0.0251
"contains_G,D,C",0.0238
"contains_Amin,F,C,G,Amin",0.0237
"contains_G,C,G,C",0.0229
"contains_D,C,G,D,C",0.0226
"contains_F,G,Amin",0.0225
"contains_Amin,D,G",0.0223
"contains_D,C,G,D",0.0222
"contains_D,G,C,D,G",0.0212
"contains_C,G,D,C",0.0204
"contains_Amin,G,F,C",0.0201
"contains_Amin,G,F",0.0196
"contains_C,D,G,D",0.0195
"contains_G,C,Amin,F,G",0.0193
"contains_C,G,C,G,D",0.0192
"contains_D,C,D,C",0.0178
"contains_G,Amin,F,G,Amin",0.0177
"contains_C,Amin,C",0.0177
"contains_G,D,C,G",0.0175
"contains_Amin,G,F,Amin,G",0.0173
"contains_G,C,D,G,C",0.0159
"contains_F,G,C,Amin",0.0152
"contains_G,Emin,C",0.0135
"contains_C,G,Amin,F,C",0.0126
"contains_F,Amin,G",0.0126
"contains_D,G,C",0.0125
"contains_G,F,Amin,G,F",0.0125
"contains_C,D,G,C",0.0124
"contains_Amin,C,G,Amin,C",0.0123
"contains_Emin,C,G,Emin,C",0.0122
"contains_G,Emin,C,G",0.0116
average_5overlap,0.011
"contains_C,Amin,C,Amin,C",0.01
"contains_F,G,Amin,F,G",0.0093
"contains_Amin,F,G,Amin,F",0.009
"contains_G,C,G,Amin",0.0087
"contains_C,G,D,G",0.0087
"contains_G,F,G,F,G",0.0084
"contains_D,G,C,G,C",0.0084
"contains_G,C,G,D,G",0.0077
"contains_F,G,F,G,F",0.0069
"contains_F,Amin,G,F,Amin",0.0059
"contains_G,Amin,F,C",0.0054
"contains_D,G,C,D",0.005
"contains_G,Amin,G,Amin,G",0.0046
"contains_Amin,G,Amin,G",0.0045
"contains_G,Amin,F,G",0.0044
"contains_G,Amin,G",0.0044
"contains_C,G,Emin",0.0034
"contains_G,Amin,G,Amin",0.0033
"contains_Emin,G,C",0.0032
"contains_Amin,F,G",0.0027
"contains_G,Amin,F",0.0019
"contains_C,G,C,G,C",0.0018
"contains_C,G,Emin,C",0.0017
"contains_G,C,G,C,G",0.0016
"contains_G,F,Amin,G",0.0015
"contains_F,G,C,Amin,F",0.0013
"contains_G,Amin,C,G,Amin",0.0007
"contains_F,G,F,G",0.0005
"contains_G,Amin,C,G",0.0
"contains_F,G,Amin,F",0.0
"contains_Amin,C,G,Amin",0.0
"contains_G,Emin,C,G,Emin",0.0
"contains_C,Amin,F,G,C",0.0
"contains_F,C,G,Amin",0.0
"contains_C,G,Amin,C,G",0.0
"contains_G,C,Amin",0.0
"contains_D,C,G",0.0
"contains_G,D,C,G,D",0.0
